IATA,Airport,City,Country
ATL,Hartsfield–Jackson Atlanta International Airport,Atlanta,United States
PEK,Beijing Capital International Airport,Beijing,China
LAX,Los Angeles International Airport,Los Angeles,United States
DXB,Dubai International Airport,Dubai,United Arab Emirates
HND,Tokyo Haneda Airport,Tokyo,Japan
ORD,Chicago O'Hare International Airport,Chicago,United States
LHR,London Heathrow Airport,London,United Kingdom
HKG,Hong Kong International Airport,Hong Kong,China
PVG,Shanghai Pudong International Airport,Shanghai,China
CDG,Paris Charles de Gaulle Airport,Paris,France
DFW,Dallas/Fort Worth International Airport,Dallas,United States
CAN,Guangzhou Baiyun International Airport,Guangzhou,China
AMS,Amsterdam Schiphol Airport,Amsterdam,Netherlands
FRA,Frankfurt am Main Airport,Frankfurt,Germany
IST,Istanbul Airport,Istanbul,Turkey
DEL,Indira Gandhi International Airport,Delhi,India
SIN,Singapore Changi Airport,Singapore,Singapore
ICN,Incheon International Airport,Seoul,South Korea
BKK,Suvarnabhumi Airport,Bangkok,Thailand
DEN,Denver International Airport,Denver,United States
JFK,John F. Kennedy International Airport,New York,United States
KUL,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia
MAD,Madrid Barajas Airport,Madrid,Spain
SFO,San Francisco International Airport,San Francisco,United States
LAS,Harry Reid International Airport,Las Vegas,United States
BCN,Barcelona–El Prat Airport,Barcelona,Spain
YYZ,Toronto Pearson International Airport,Toronto,Canada
MUC,Franz Josef Strauss International Airport,Munich,Germany
MCO,Orlando International Airport,Orlando,United States
SEA,Seattle–Tacoma International Airport,Seattle,United States
MIA,Miami International Airport,Miami,United States
FCO,Rome Fiumicino Airport,Rome,Italy
EWR,Newark Liberty International Airport,Newark,United States
GRU,São Paulo–Guarulhos International Airport,São Paulo,Brazil
CLT,Charlotte Douglas International Airport,Charlotte,United States
PHX,Phoenix Sky Harbor International Airport,Phoenix,United States
IAH,George Bush Intercontinental Airport,Houston,United States
MEL,Melbourne Airport,Melbourne,Australia
SYD,Sydney Kingsford Smith Airport,Sydney,Australia
BOM,Chhatrapati Shivaji Maharaj International Airport,Mumbai,India
BOS,Logan International Airport,Boston,United States
NRT,Narita International Airport,Tokyo,Japan
SVO,Sheremetyevo International Airport,Moscow,Russia
LIS,Humberto Delgado Airport,Lisbon,Portugal
ZRH,Zurich Airport,Zurich,Switzerland
VIE,Vienna International Airport,Vienna,Austria
DOH,Hamad International Airport,Doha,Qatar
ATH,Athens International Airport,Athens,Greece
CPH,Copenhagen Airport,Copenhagen,Denmark
OSL,Oslo Gardermoen Airport,Oslo,Norway
BAY,Maramureș International Airport,Baia Mare,Romania
